Race_Name,Name,Season,Age,Rank,Team_Name,UCI,Finishing_Time
paris-roubaix,dylan-van-baarle,2022,29,1,ineos-grenadiers-2022,500,5:37:00
paris-roubaix,wout-van-aert,2022,27,2,team-jumbo-visma-2022,400,1:47
paris-roubaix,stefan-kung,2022,28,3,groupama-fdj-2022,325,",,"
paris-roubaix,tom-devriendt,2022,30,4,intermarche-wanty-gobert-materiaux-2022,275,",,"
paris-roubaix,matej-mohoric,2022,27,5,bahrain-victorious-2022,225,",,"
paris-roubaix,adrien-petit,2022,31,6,intermarche-wanty-gobert-materiaux-2022,175,2:27
paris-roubaix,jasper-stuyven,2022,30,7,trek-segafredo-2022,150,",,"
paris-roubaix,laurent-pichon,2022,35,8,team-arkea-samsic-2022,125,",,"
paris-roubaix,mathieu-van-der-poel,2022,27,9,alpecin-fenix-2022,100,2:34
paris-roubaix,yves-lampaert,2022,31,10,quick-step-alpha-vinyl-2022,85,2:59
paris-roubaix,ben-turner,2022,22,11,ineos-grenadiers-2022,70,4:30
paris-roubaix,alexander-kristoff,2022,34,12,intermarche-wanty-gobert-materiaux-2022,60,4:33
paris-roubaix,florian-senechal,2022,28,13,quick-step-alpha-vinyl-2022,50,4:36
paris-roubaix,jordi-meeus,2022,23,14,bora-hansgrohe-2022,40,4:47
paris-roubaix,matis-louvel,2022,22,15,team-arkea-samsic-2022,35,",,"
paris-roubaix,taco-van-der-hoorn,2022,28,16,intermarche-wanty-gobert-materiaux-2022,30,",,"
paris-roubaix,greg-van-avermaet,2022,36,17,ag2r-citroen-team-2022,30,",,"
paris-roubaix,john-degenkolb,2022,33,18,team-dsm-2022,30,",,"
paris-roubaix,andrea-pasqualon,2022,34,19,intermarche-wanty-gobert-materiaux-2022,30,",,"
paris-roubaix,mike-teunissen,2022,29,20,team-jumbo-visma-2022,30,",,"
paris-roubaix,stefan-bissegger,2022,23,21,ef-education-easypost-2022,20,",,"
paris-roubaix,nils-politt,2022,28,22,bora-hansgrohe-2022,20,",,"
paris-roubaix,baptiste-planckaert,2022,33,23,intermarche-wanty-gobert-materiaux-2022,20,",,"
paris-roubaix,dries-van-gestel,2022,27,24,team-totalenergies-2022,20,",,"
paris-roubaix,ivan-garcia-cortina,2022,26,25,movistar-team-2022,20,",,"
paris-roubaix,guillaume-van-keirsbulck,2022,31,26,alpecin-fenix-2022,20,",,"
paris-roubaix,anders-skaarseth,2022,26,27,uno-x-pro-cycling-team-2022,20,",,"
paris-roubaix,olivier-le-gac,2022,28,28,groupama-fdj-2022,20,",,"
paris-roubaix,mathias-norsgaard,2022,24,29,movistar-team-2022,20,",,"
paris-roubaix,philippe-gilbert,2022,39,30,lotto-soudal-2022,20,",,"
paris-roubaix,connor-swift,2022,26,31,team-arkea-samsic-2022,10,",,"
paris-roubaix,ludovic-robeet,2022,27,32,bingoal-pauwels-sauzen-wb-2022,10,",,"
paris-roubaix,ward-vanhoof,2022,22,33,sport-vlaanderen-baloise-2022,10,",,"
paris-roubaix,valentin-madouas,2022,25,34,groupama-fdj-2022,10,",,"
paris-roubaix,filippo-ganna,2022,25,35,ineos-grenadiers-2022,10,",,"
paris-roubaix,jenthe-biermans,2022,26,36,israel-premier-tech-2022,10,6:58
paris-roubaix,nathan-van-hooydonck,2022,26,37,team-jumbo-visma-2022,10,",,"
paris-roubaix,edvald-boasson-hagen,2022,34,38,team-totalenergies-2022,10,7:00
paris-roubaix,joris-nieuwenhuis,2022,26,39,team-dsm-2022,10,",,"
paris-roubaix,tim-merlier,2022,29,40,alpecin-fenix-2022,10,7:02
paris-roubaix,davide-ballerini,2022,27,41,quick-step-alpha-vinyl-2022,10,11:38
paris-roubaix,lewis-askey,2022,20,42,groupama-fdj-2022,10,11:51
paris-roubaix,matteo-trentin,2022,32,43,uae-team-emirates-2022,10,12:35
paris-roubaix,kasper-asgreen,2022,27,44,quick-step-alpha-vinyl-2022,10,",,"
paris-roubaix,zdenek-stybar,2022,36,45,quick-step-alpha-vinyl-2022,10,",,"
paris-roubaix,stanislaw-aniolkowski,2022,25,46,bingoal-pauwels-sauzen-wb-2022,10,",,"
paris-roubaix,luke-durbridge,2022,31,47,team-bikeexchange-jayco-2022,10,",,"
paris-roubaix,max-kanter,2022,24,48,movistar-team-2022,10,",,"
paris-roubaix,sebastian-langeveld,2022,37,49,ef-education-easypost-2022,10,",,"
paris-roubaix,niki-terpstra,2022,37,50,team-totalenergies-2022,10,",,"
paris-roubaix,nikias-arndt,2022,30,51,team-dsm-2022,5,14:48
paris-roubaix,owain-doull,2022,28,52,ef-education-easypost-2022,5,15:16
paris-roubaix,julien-morice,2022,30,53,b-b-hotels-ktm-2022,5,",,"
paris-roubaix,oliver-naesen,2022,31,54,ag2r-citroen-team-2022,5,",,"
paris-roubaix,oier-lazkano,2022,22,55,movistar-team-2022,5,",,"
