Rider_id,Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
mauro-finetto,Mauro  Finetto, 1.77 m, 62 kg   ,Italy,1002Climber,1199GC,229Time trial,1787Sprint,2156One day races
arnaud-labbe,Arnaud  Labbé, 1.83 m, 73 kg   ,France,36Climber,185GC,25Time trial,290Sprint,187One day races
tim-de-troyer,Tim De Troyer, 1.78 m, 72 kg   ,Belgium,10Climber,35GC,34Time trial,317Sprint,191One day races
mario-costa,Mário  Costa,NaN,NaN,Portugal,4Climber,71GC,46Time trial,45Sprint,20One day races
callum-scotson,Callum  Scotson, 1.84 m, 77 kg   ,Australia,25Climber,93GC,40Time trial,49Sprint,17One day races
edoardo-zardini,Edoardo  Zardini, 1.73 m, 62 kg   ,Italy,449Climber,521GC,48Time trial,114Sprint,319One day races
quentin-jauregui,Quentin  Jauregui, 1.76 m, 60 kg   ,France,162Climber,156GC,0Time trial,387Sprint,544One day races
david-blanco,David  Blanco,NaN,NaN,Spain,820Climber,1737GC,1203Time trial,784Sprint,171One day races
floris-goesinnen,Floris  Goesinnen, 1.82 m, 75 kg   ,Netherlands,53Climber,148GC,19Time trial,475Sprint,363One day races
franck-bouyer,Franck  Bouyer, 1.73 m, 65 kg   ,France,191Climber,575GC,147Time trial,942Sprint,747One day races
marco-brenner,Marco  Brenner,NaN, 1.78 m,Germany,30Climber,12GC,3Time trial,8Sprint,16One day races
allan-davis,Allan  Davis, 1.72 m, 73 kg   ,Australia,868Climber,1201GC,47Time trial,5510Sprint,2640One day races
marko-kump,Marko  Kump, 1.80 m, 68 kg   ,Slovenia,62Climber,133GC,105Time trial,3255Sprint,866One day races
giovanni-visconti,Giovanni  Visconti, 1.75 m, 63 kg   ,Italy,4102Climber,1979GC,804Time trial,3136Sprint,5533One day races
bram-tankink,Bram  Tankink, 1.81 m, 71 kg   ,Netherlands,482Climber,1174GC,308Time trial,583Sprint,1143One day races
ariel-maximiliano-richeze,Maximiliano  Richeze, 1.77 m, 68 kg   ,Argentina,1032Climber,523GC,151Time trial,4138Sprint,1113One day races
frederik-veuchelen,Frederik  Veuchelen, 1.83 m, 75 kg   ,Belgium,100Climber,383GC,121Time trial,458Sprint,593One day races
chad-beyer,Chad  Beyer, 1.78 m, 63 kg   ,United States,82Climber,124GC,1Time trial,214Sprint,52One day races
marco-bandiera,Marco  Bandiera, 1.74 m, 68 kg   ,Italy,74Climber,165GC,18Time trial,612Sprint,336One day races
maxime-farazijn,Maxime  Farazijn, 1.83 m, 73.5 kg   ,Belgium,6Climber,17GC,8Time trial,176Sprint,101One day races
sho-hatsuyama,Sho  Hatsuyama, 1.75 m, 59 kg   ,Japan,47Climber,64GC,7Time trial,156Sprint,72One day races
maarten-wynants,Maarten  Wynants, 1.90 m, 74 kg   ,Belgium,61Climber,559GC,127Time trial,989Sprint,1351One day races
nicolas-roche,Nicolas  Roche, 1.78 m, 70 kg   ,Ireland,5120Climber,3467GC,666Time trial,1263Sprint,1345One day races
eloy-teruel,Eloy  Teruel, 1.81 m, 73 kg   ,Spain,12Climber,3GC,535Time trial,88Sprint,52One day races
matteo-trentin,Matteo  Trentin, 1.79 m, 74 kg   ,Italy,2426Climber,520GC,250Time trial,3298Sprint,4148One day races
mateusz-taciak,Mateusz  Taciak, 1.78 m, 68 kg   ,Poland,55Climber,705GC,739Time trial,392Sprint,65One day races
alberto-loddo,Alberto  Loddo, 1.68 m, 60 kg   ,Italy,59Climber,118GC,39Time trial,1658Sprint,159One day races
rein-taaramae,Rein  Taaramäe, 1.86 m, 68 kg   ,Estonia,1896Climber,2752GC,1383Time trial,635Sprint,730One day races
daniel-hoelgaard,Daniel  Hoelgaard, 1.83 m, 77 kg   ,Norway,74Climber,81GC,50Time trial,800Sprint,312One day races
chris-harper,Chris  Harper, 1.85 m, 67 kg   ,Australia,221Climber,565GC,202Time trial,246Sprint,174One day races
borut-bozic,Borut  Božič, 1.78 m, 70 kg   ,Slovenia,352Climber,755GC,229Time trial,3617Sprint,1914One day races
edwin-avila,Edwin  Ávila, 1.67 m, 61 kg   ,Colombia,197Climber,333GC,47Time trial,1186Sprint,177One day races
paolo-colonna,Paolo  Colonna, 1.76 m, 65 kg   ,Italy,2Climber,0GC,0Time trial,128Sprint,14One day races
emiel-planckaert,Emiel  Planckaert, 1.83 m, 69 kg   ,Belgium,10Climber,14GC,0Time trial,92Sprint,36One day races
volodymyr-zagorodny,Vladimir  Zagorodnii,NaN,NaN,Russia,72Climber,174GC,79Time trial,334Sprint,287One day races
max-kanter,Max  Kanter, 1.76 m, 68 kg   ,Germany,80Climber,158GC,32Time trial,657Sprint,210One day races
ricardo-garcia-ambroa,Ricardo  García, 1.83 m, 68 kg   ,Spain,115Climber,138GC,37Time trial,341Sprint,107One day races
juan-jose-lobato,Juan José  Lobato, 1.73 m, 64 kg   ,Spain,544Climber,623GC,50Time trial,2924Sprint,1315One day races
ludwig-de-winter,Ludwig De Winter, 1.87 m, 83 kg   ,Belgium,2Climber,5GC,0Time trial,96Sprint,90One day races
cees-bol,Cees  Bol, 1.94 m, 83 kg   ,Netherlands,226Climber,311GC,188Time trial,1250Sprint,546One day races
wesley-kreder,Wesley  Kreder, 1.83 m, 71 kg   ,Netherlands,11Climber,104GC,30Time trial,714Sprint,715One day races
peter-williams-1,Peter  Williams,NaN,NaN,Great Britain,9Climber,57GC,53Time trial,326Sprint,82One day races
jimmy-duquennoy,Jimmy  Duquennoy,NaN,NaN,NaN,0Climber,5GC,0Time trial,99Sprint,64One day races
tony-hurel,Tony  Hurel, 1.69 m, 66 kg   ,France,74Climber,173GC,106Time trial,854Sprint,298One day races
kasper-asgreen,Kasper  Asgreen, 1.92 m, 75 kg   ,Denmark,980Climber,504GC,1775Time trial,286Sprint,1432One day races
christian-knees,Christian  Knees, 1.94 m, 81 kg   ,Germany,674Climber,1556GC,598Time trial,864Sprint,962One day races
daniele-righi,Daniele  Righi, 1.80 m, 70 kg   ,Italy,225Climber,446GC,39Time trial,460Sprint,446One day races
oscar-pereiro,Óscar  Pereiro, 1.77 m, 67 kg   ,Spain,1904Climber,2531GC,2087Time trial,579Sprint,485One day races
simone-cadamuro,Simone  Cadamuro, 1.85 m, 78 kg   ,Italy,176Climber,35GC,2Time trial,2034Sprint,642One day races
kevin-claeys,Kevin  Claeys, 1.76 m, 74 kg   ,Belgium,0Climber,0GC,0Time trial,282Sprint,74One day races
kristoffer-halvorsen,Kristoffer  Halvorsen, 1.79 m, 69 kg   ,Norway,118Climber,244GC,2Time trial,1228Sprint,809One day races
michael-reihs,Michael  Reihs, 1.89 m, 75 kg   ,Denmark,50Climber,17GC,1Time trial,771Sprint,465One day races
franklin-six,Franklin  Six, 1.90 m, 72 kg   ,Belgium,0Climber,8GC,0Time trial,44Sprint,28One day races
daniele-pietropolli,Daniele  Pietropolli, 1.74 m, 61 kg   ,Italy,770Climber,960GC,16Time trial,1112Sprint,1270One day races
mark-donovan,Mark  Donovan, 1.86 m, 70 kg   ,Great Britain,183Climber,154GC,29Time trial,37Sprint,40One day races
julian-alaphilippe,Julian  Alaphilippe, 1.73 m, 62 kg   ,France,6438Climber,2376GC,1287Time trial,900Sprint,5779One day races
jussi-veikkanen,Jussi  Veikkanen, 1.78 m, 66 kg   ,Finland,234Climber,1088GC,491Time trial,688Sprint,360One day races
ivan-garcia-cortina,Iván  García Cortina, 1.83 m, 77 kg   ,Spain,743Climber,254GC,108Time trial,768Sprint,903One day races
sergio-dominguez-munoz,Sergio  Domínguez,NaN,NaN,Spain,3Climber,5GC,7Time trial,6Sprint,0One day races
aurelien-clerc,Aurélien  Clerc, 1.76 m, 71 kg   ,Switzerland,172Climber,217GC,6Time trial,2577Sprint,916One day races
dominik-nerz,Dominik  Nerz, 1.80 m, 67 kg   ,Germany,592Climber,606GC,216Time trial,156Sprint,293One day races
pieter-weening,Pieter  Weening, 1.86 m, 68 kg   ,Netherlands,1526Climber,2777GC,403Time trial,568Sprint,806One day races
hugo-houle,Hugo  Houle, 1.82 m, 72 kg   ,Canada,462Climber,624GC,633Time trial,224Sprint,591One day races
gert-steegmans,Gert  Steegmans, 1.90 m, 82 kg   ,Belgium,96Climber,735GC,280Time trial,2984Sprint,1379One day races
carlo-scognamiglio,Carlo  Scognamiglio, 1.79 m, 67 kg   ,Italy,30Climber,50GC,1Time trial,363Sprint,352One day races
william-dugan,William  Dugan,NaN,NaN,United States,4Climber,14GC,1Time trial,39Sprint,0One day races
philipp-ludescher,Philipp  Ludescher, 1.87 m, 72 kg   ,Austria,5Climber,10GC,0Time trial,1Sprint,1One day races
fabio-jakobsen,Fabio  Jakobsen, 1.81 m, 78 kg   ,Netherlands,206Climber,59GC,38Time trial,2714Sprint,1218One day races
moreno-moser,Moreno  Moser, 1.77 m, 64 kg   ,Italy,946Climber,479GC,775Time trial,300Sprint,1064One day races
davide-martinelli,Davide  Martinelli, 1.86 m, 71 kg   ,Italy,43Climber,118GC,131Time trial,429Sprint,273One day races
kristijan-koren,Kristijan  Koren, 1.83 m, 72 kg   ,Slovenia,303Climber,514GC,387Time trial,476Sprint,689One day races
ruben-apers,Ruben  Apers, 1.79 m, 70 kg   ,Belgium,0Climber,1GC,13Time trial,21Sprint,49One day races
timothy-vangheel,Timothy  Vangheel,NaN,NaN,Belgium,3Climber,0GC,0Time trial,23Sprint,12One day races
youcef-reguigui,Youcef  Reguigui, 1.72 m, 69 kg   ,Algeria,177Climber,527GC,107Time trial,2076Sprint,432One day races
