Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Enrico  Poitschke, 1.79 m, 73 kg   ,Germany,0Climber,258GC,9Time trial,1417Sprint,595One day races
Jérôme  Gilbert, 1.71 m, 60 kg   ,Belgium,0Climber,2GC,0Time trial,2Sprint,10One day races
Davide  Bais, 1.85 m, 66 kg   ,Italy,17Climber,35GC,20Time trial,16Sprint,11One day races
Pasquale  Muto,NaN,NaN,Italy,287Climber,333GC,64Time trial,855Sprint,844One day races
Mart  Ojavee, 1.83 m, 80 kg   ,Estonia,13Climber,10GC,235Time trial,470Sprint,196One day races
Staf  Scheirlinckx, 1.92 m, 78 kg   ,Belgium,85Climber,359GC,36Time trial,675Sprint,996One day races
Koen  Bouwman, 1.78 m, 60 kg   ,Netherlands,342Climber,530GC,340Time trial,75Sprint,118One day races
Cameron  Meyer, 1.81 m, 70 kg   ,Australia,612Climber,1216GC,1221Time trial,434Sprint,300One day races
Rory  Sutherland, 1.88 m, 75 kg   ,Australia,376Climber,1045GC,768Time trial,791Sprint,404One day races
Simone  Ravanelli, 1.78 m, 66 kg   ,Italy,224Climber,138GC,23Time trial,203Sprint,161One day races
Justin  Timmermans, 1.84 m, 72 kg   ,Netherlands,0Climber,1GC,0Time trial,53Sprint,37One day races
Diego  Ulissi, 1.75 m, 63 kg   ,Italy,5488Climber,4313GC,967Time trial,1236Sprint,4347One day races
Aaron  Kemps, 1.81 m, 73 kg   ,Australia,14Climber,147GC,69Time trial,1190Sprint,168One day races
Ramon  Sinkeldam, 1.93 m, 77 kg   ,Netherlands,46Climber,527GC,72Time trial,1394Sprint,806One day races
Rubén  Pérez, 1.73 m, 65 kg   ,Spain,388Climber,380GC,48Time trial,780Sprint,385One day races
Kess  Heytens,NaN,NaN,Belgium,0Climber,0GC,0Time trial,12Sprint,0One day races
Pengda  Jiao, 1.73 m, 65 kg   ,China,42Climber,53GC,2Time trial,103Sprint,0One day races
Robin  Chaigneau, 1.85 m, 80 kg   ,Netherlands,4Climber,3GC,9Time trial,236Sprint,115One day races
Stig  Broeckx, 1.88 m, 73 kg   ,Belgium,16Climber,112GC,12Time trial,129Sprint,115One day races
Wesley  Kreder, 1.83 m, 71 kg   ,Netherlands,8Climber,104GC,30Time trial,716Sprint,705One day races
Reinardt  Janse van Rensburg, 1.82 m, 74 kg   ,South Africa,494Climber,867GC,455Time trial,2142Sprint,1166One day races
