Race_Name,Name,Season,Age,Rank,Team_Name,UCI
strade-bianche,tadej-pogacar,2022,23,1,uae-team-emirates-2022,300
strade-bianche,alejandro-valverde,2022,41,2,movistar-team-2022,250
strade-bianche,kasper-asgreen,2022,27,3,quick-step-alpha-vinyl-2022,215
strade-bianche,attila-valter,2022,23,4,groupama-fdj-2022,175
strade-bianche,pello-bilbao,2022,32,5,bahrain-victorious-2022,120
strade-bianche,jhonatan-narvaez,2022,25,6,ineos-grenadiers-2022,115
strade-bianche,quinn-simmons,2022,20,7,trek-segafredo-2022,95
strade-bianche,tim-wellens,2022,30,8,lotto-soudal-2022,75
strade-bianche,simone-petilli,2022,28,9,intermarche-wanty-gobert-materiaux-2022,60
strade-bianche,sergio-higuita,2022,24,10,bora-hansgrohe-2022,50
strade-bianche,michael-valgren-andersen,2022,30,11,ef-education-easypost-2022,40
strade-bianche,floris-de-tier,2022,30,12,alpecin-fenix-2022,35
strade-bianche,lorenzo-rota,2022,26,13,intermarche-wanty-gobert-materiaux-2022,30
strade-bianche,sebastien-reichenbach,2022,32,14,groupama-fdj-2022,25
strade-bianche,ruben-guerreiro,2022,27,15,ef-education-easypost-2022,20
strade-bianche,toms-skujins,2022,30,16,trek-segafredo-2022,20
strade-bianche,andrea-vendrame,2022,27,17,ag2r-citroen-team-2022,20
strade-bianche,jai-hindley,2022,25,18,bora-hansgrohe-2022,20
strade-bianche,filippo-zana,2022,22,19,bardiani-csf-faizane-2022,20
strade-bianche,carlos-rodriguez-cano,2022,21,20,ineos-grenadiers-2022,20
strade-bianche,simone-velasco,2022,26,21,astana-qazaqstan-team-2022,12
strade-bianche,xandro-meurisse,2022,30,22,alpecin-fenix-2022,12
strade-bianche,diego-ulissi,2022,32,23,uae-team-emirates-2022,12
strade-bianche,andreas-kron,2022,23,24,lotto-soudal-2022,12
strade-bianche,vincenzo-albanese,2022,25,25,eolo-kometa-2022,12
strade-bianche,simon-clarke,2022,35,26,israel-premier-tech-2022,12
strade-bianche,warren-barguil,2022,30,27,team-arkea-samsic-2022,12
strade-bianche,alessandro-covi,2022,23,28,uae-team-emirates-2022,12
strade-bianche,benoit-cosnefroy,2022,26,29,ag2r-citroen-team-2022,12
strade-bianche,richard-carapaz,2022,28,30,ineos-grenadiers-2022,12
strade-bianche,sepp-kuss,2022,27,31,team-jumbo-visma-2022,5
strade-bianche,edoardo-zambanini,2022,20,32,bahrain-victorious-2022,5
