Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
mauro-finetto,2021.0,59.0,30.0,4793.0,0.0,0.0
mauro-finetto,2020.0,87.0,39.0,6010.0,0.0,0.0
mauro-finetto,2019.0,183.0,82.0,12324.0,1.0,1.0
mauro-finetto,2018.0,312.0,68.0,11120.0,0.0,0.0
mauro-finetto,2017.0,397.0,73.0,11747.0,1.0,4.0
mauro-finetto,2016.0,367.0,59.0,9071.0,2.0,8.0
mauro-finetto,2015.0,360.0,82.0,13487.0,2.0,4.0
mauro-finetto,2014.0,654.0,68.0,11827.0,3.0,7.0
mauro-finetto,2013.0,243.0,71.0,11293.0,0.0,2.0
mauro-finetto,2011.0,137.0,53.0,8365.0,0.0,1.0
mauro-finetto,2010.0,271.0,79.0,12130.0,0.0,0.0
mauro-finetto,2009.0,287.0,56.0,8912.0,3.0,3.0
mauro-finetto,2008.0,401.0,55.0,9081.0,0.0,3.0
mauro-finetto,2007.0,35.0,21.0,2966.0,0.0,5.0
mauro-finetto,2006.0,4.0,10.0,1144.0,0.0,0.0
mauro-finetto,2005.0,0.0,1.0,26.0,0.0,0.0
mauro-finetto,2004.0,4.0,1.0,0.0,0.0,0.0
mauro-finetto,2003.0,106.0,5.0,429.0,0.0,3.0
mauro-finetto,2002.0,16.0,1.0,127.0,0.0,0.0
arnaud-labbe,2015.0,0.0,3.0,538.0,0.0,0.0
arnaud-labbe,2014.0,0.0,4.0,646.0,0.0,0.0
arnaud-labbe,2013.0,13.0,65.0,10500.0,0.0,0.0
arnaud-labbe,2012.0,5.0,76.0,12637.0,0.0,0.0
arnaud-labbe,2011.0,24.0,66.0,10731.0,0.0,0.0
arnaud-labbe,2010.0,25.0,58.0,9497.0,0.0,0.0
arnaud-labbe,2009.0,35.0,61.0,9684.0,0.0,0.0
arnaud-labbe,2008.0,40.0,84.0,12860.0,0.0,0.0
arnaud-labbe,2007.0,51.0,51.0,8420.0,0.0,0.0
arnaud-labbe,2006.0,59.0,60.0,9503.0,0.0,0.0
arnaud-labbe,2005.0,126.0,54.0,8645.0,0.0,2.0
arnaud-labbe,2004.0,0.0,2.0,173.0,0.0,0.0
arnaud-labbe,2003.0,19.0,2.0,0.0,1.0,1.0
arnaud-labbe,2002.0,0.0,1.0,0.0,0.0,0.0
arnaud-labbe,2001.0,0.0,1.0,181.0,0.0,0.0
tim-de-troyer,2016.0,11.0,52.0,7342.0,0.0,0.0
tim-de-troyer,2015.0,125.0,78.0,12099.0,1.0,3.0
tim-de-troyer,2014.0,100.0,89.0,14032.0,0.0,2.0
