year,race_id,winner_id,category
2022,tour-down-under,NULL,2.UWT
2022,great-ocean-race,NULL,1.UWT
2022,uae-tour,tadej-pogacar,2.UWT
2022,omloop-het-nieuwsblad,wout-van-aert,1.UWT
2022,strade-bianche,tadej-pogacar,1.UWT
2022,paris-nice,primoz-roglic,2.UWT
2022,tirreno-adriatico,tadej-pogacar,2.UWT
2022,milano-sanremo,matej-mohoric,1.UWT
2022,volta-a-catalunya,sergio-higuita,2.UWT
2022,oxyclean-classic-brugge-de-panne,tim-merlier,1.UWT
2022,e3-harelbeke,wout-van-aert,1.UWT
2022,gent-wevelgem,biniam-girmay,1.UWT
2022,dwars-door-vlaanderen,mathieu-van-der-poel,1.UWT
2022,ronde-van-vlaanderen,mathieu-van-der-poel,1.UWT
2022,itzulia-basque-country,daniel-felipe-martinez,2.UWT
2022,amstel-gold-race,michal-kwiatkowski,1.UWT
2022,paris-roubaix,dylan-van-baarle,1.UWT
2022,la-fleche-wallone,dylan-teuns,1.UWT
2022,liege-bastogne-liege,remco-evenepoel,1.UWT
2022,tour-de-romandie,aleksandr-vlasov,2.UWT
2022,Eschborn-Frankfurt,sam-bennett,1.UWT
2022,giro-d-italia,jai-hindley,2.UWT
2022,dauphine,primoz-roglic,2.UWT
2022,tour-de-suisse,geraint-thomas,2.UWT
2022,tour-de-france,jonas-vingegaard-rasmussen,2.UWT
2022,san-sebastian,remco-evenepoel,1.UWT
2022,tour-de-pologne,ethan-hayter,2.UWT
2022,vuelta-a-espana,remco-evenepoel,2.UWT
2022,cyclassics-hamburg,marco-haller,1.UWT
2022,bretagne-classic,wout-van-aert,1.UWT
2022,benelux-tour,NULL,2.UWT
2022,gp-quebec,benoit-cosnefroy,1.UWT
2022,gp-montreal,tadej-pogacar,1.UWT
2022,il-lombardia,tadej-pogacar,1.UWT
2022,tour-of-guangxi,NULL,2.UWT
2021,tour-down-under,NULL,2.UWT
2021,great-ocean-race,NULL,1.UWT
2021,uae-tour,tadej-pogacar,2.UWT
2021,omloop-het-nieuwsblad,davide-ballerini,1.UWT
2021,strade-bianche,mathieu-van-der-poel,1.UWT
2021,paris-nice,maximilian-schachmann,2.UWT
2021,tirreno-adriatico,tadej-pogacar,2.UWT
2021,milano-sanremo,jasper-stuyven,1.UWT
2021,volta-a-catalunya,adam-yates,2.UWT
2021,oxyclean-classic-brugge-de-panne,sam-bennett,1.UWT
2021,e3-harelbeke,kasper-asgreen,1.UWT
2021,gent-wevelgem,wout-van-aert,1.UWT
2021,dwars-door-vlaanderen,dylan-van-baarle,1.UWT
2021,ronde-van-vlaanderen,kasper-asgreen,1.UWT
2021,itzulia-basque-country,primoz-roglic,2.UWT
2021,amstel-gold-race,wout-van-aert,1.UWT
2021,la-fleche-wallone,julian-alaphilippe,1.UWT
2021,liege-bastogne-liege,tadej-pogacar,1.UWT
2021,tour-de-romandie,geraint-thomas,2.UWT
2021,giro-d-italia,egan-bernal,2.UWT
2021,dauphine,richie-porte,2.UWT
2021,tour-de-suisse,richard-carapaz,2.UWT
2021,tour-de-france,tadej-pogacar,2.UWT
2021,san-sebastian,neilson-powless,1.UWT
2021,tour-de-pologne,joao-almeida,2.UWT
2021,vuelta-a-espana,primoz-roglic,2.UWT
2021,cyclassics-hamburg,NULL,1.UWT
2021,bretagne-classic,benoit-cosnefroy,1.UWT
2021,benelux-tour,sonny-colbrelli,2.UWT
2021,gp-quebec,NULL,1.UWT
2021,gp-montreal,NULL,1.UWT
2021,Eschborn-Frankfurt,jasper-philipsen,1.UWT
2021,paris-roubaix,sonny-colbrelli,1.UWT
2021,il-lombardia,tadej-pogacar,1.UWT
2021,tour-of-guangxi,NULL,2.UWT
2020,tour-down-under,richie-porte,2.UWT
2020,great-ocean-race,dries-devenyns,1.UWT
2020,uae-tour,adam-yates,2.UWT
2020,omloop-het-nieuwsblad,jasper-stuyven,1.UWT
2020,paris-nice,maximilian-schachmann,2.UWT
2020,e3-harelbeke,NULL,1.UWT
2020,itzulia-basque-country,NULL,2.UWT
2020,tour-de-romandie,NULL,2.UWT
2020,Eschborn-Frankfurt,NULL,1.UWT
2020,tour-de-suisse,NULL,2.UWT
2020,san-sebastian,NULL,1.UWT
2020,strade-bianche,wout-van-aert,1.UWT
2020,tour-de-pologne,remco-evenepoel,2.UWT
2020,milano-sanremo,wout-van-aert,1.UWT
2020,dauphine,daniel-felipe-martinez,2.UWT
2020,il-lombardia,jakob-fuglsang,1.UWT
2020,ride-london-classic,NULL,1.UWT
2020,bretagne-classic,michael-matthews,1.UWT
2020,tour-de-france,tadej-pogacar,2.UWT
2020,tirreno-adriatico,simon-yates,2.UWT
2020,gp-quebec,NULL,1.UWT
2020,gp-montreal,NULL,1.UWT
2020,benelux-tour,mathieu-van-der-poel,2.UWT
2020,la-fleche-wallone,marc-hirschi,1.UWT
2020,cyclassics-hamburg,NULL,1.UWT
2020,giro-d-italia,tao-geoghegan-hart,2.UWT
2020,liege-bastogne-liege,primoz-roglic,1.UWT
2020,amstel-gold-race,NULL,1.UWT
2020,gent-wevelgem,mads-pedersen,1.UWT
2020,dwars-door-vlaanderen,NULL,1.UWT
2020,ronde-van-vlaanderen,mathieu-van-der-poel,1.UWT
2020,vuelta-a-espana,primoz-roglic,2.UWT
2020,oxyclean-classic-brugge-de-panne,yves-lampaert,1.UWT
2020,paris-roubaix,NULL,1.UWT
2020,tour-of-guangxi,NULL,2.UWT
2019,tour-down-under,daryl-impey,2.UWT
2019,great-ocean-race,elia-viviani,1.UWT
2019,uae-tour,primoz-roglic,2.UWT
2019,omloop-het-nieuwsblad,zdenek-stybar,1.UWT
2019,strade-bianche,julian-alaphilippe,1.UWT
2019,paris-nice,egan-bernal,2.UWT
2019,tirreno-adriatico,primoz-roglic,2.UWT
2019,milano-sanremo,julian-alaphilippe,1.UWT
2019,volta-a-catalunya,miguel-angel-lopez,2.UWT
2019,oxyclean-classic-brugge-de-panne,dylan-groenewegen,1.UWT
2019,e3-harelbeke,zdenek-stybar,1.UWT
2019,gent-wevelgem,alexander-kristoff,1.UWT
2019,dwars-door-vlaanderen,mathieu-van-der-poel,1.UWT
2019,ronde-van-vlaanderen,alberto-bettiol,1.UWT
2019,itzulia-basque-country,ion-izagirre,2.UWT
2019,paris-roubaix,philippe-gilbert,1.UWT
2019,tour-of-turkey,felix-grossschartner,2.UWT
2019,amstel-gold-race,mathieu-van-der-poel,1.UWT
2019,la-fleche-wallone,julian-alaphilippe,1.UWT
2019,liege-bastogne-liege,jakob-fuglsang,1.UWT
2019,tour-de-romandie,primoz-roglic,2.UWT
2019,Eschborn-Frankfurt,pascal-ackermann,1.UWT
2019,giro-d-italia,richard-carapaz,2.UWT
2019,tour-of-california,tadej-pogacar,2.UWT
2019,dauphine,jakob-fuglsang,2.UWT
2019,tour-de-suisse,egan-bernal,2.UWT
2019,tour-de-france,egan-bernal,2.UWT
2019,san-sebastian,remco-evenepoel,1.UWT
2019,tour-de-pologne,pavel-sivakov,2.UWT
2019,ride-london-classic,elia-viviani,1.UWT
2019,benelux-tour,laurens-de-plus,2.UWT
2019,vuelta-a-espana,primoz-roglic,2.UWT
2019,cyclassics-hamburg,elia-viviani,1.UWT
2019,bretagne-classic,sep-vanmarcke,1.UWT
2019,gp-quebec,michael-matthews,1.UWT
2019,gp-montreal,greg-van-avermaet,1.UWT
2019,il-lombardia,bauke-mollema,1.UWT
