Race_Name,DATE,Dist,Vert_meters,Race_ranking,Start_list_quality_score,Uci_scale,Points_scale,Won_how
strade-bianche,04 March 2023,184 km,3107,25,685,UCI.WR.C2,1.WT.B,23.3 km solo
strade-bianche,05 March 2022,184 km,3107,27,662,UCI.WR.C3,1.WT.B,49.2 km solo
strade-bianche,06 March 2021,184 km,3072,7,827,UCI.WR.C3,1.WT.B,0.5 km solo
strade-bianche,01 August 2020,184 km,3073,6,824,UCI.WR.C3,1.WT.B,12.5 km solo
strade-bianche,09 March 2019,184 km,2993,0,686,UCI.WR.C3,1.WT.B,Sprint a deux
strade-bianche,03 March 2018,184 km,2990,0,904,UCI.WR.C3,1.WT.B,12.3 km solo
strade-bianche,04 March 2017,175 km,2938,0,747,UCI.WR.C3,1.WT.B,15.6 km solo
strade-bianche,05 March 2016,176 km,2907,0,691,UCI.WR.Pro,1.PRO,Sprint a deux
milano-sanremo,18 March 2023,294 km,2154,4,1047,UCI.WR.Monument,1.WT.A,5.5 km solo
milano-sanremo,19 March 2022,293 km,2096,13,938,UCI.WR.C1,1.WT.A,4.3 km solo
milano-sanremo,20 March 2021,299 km,2020,5,1088,UCI.WR.C1,1.WT.A,Sprint a deux
milano-sanremo,08 August 2020,305 km,2803,4,982,UCI.WR.C1,1.WT.A,Sprint a deux
milano-sanremo,23 March 2019,291 km,2060,0,1137,UCI.WR.C1,1.WT.A,Sprint of small group
milano-sanremo,17 March 2018,294 km,2143,0,1117,UCI.WR.C1,1.WT.A,7.1 km solo
milano-sanremo,18 March 2017,291 km,2166,0,1036,UCI.WR.C1,1.WT.A,Sprint of small group
milano-sanremo,19 March 2016,293 km,2233,0,1099,UCI.WR.C1,1.WT.A,Sprint of large group
omloop-het-nieuwsblad,25 February 2023,207.3 km,1616,26,677,UCI.WR.C3,1.WT.B,16.5 km solo
omloop-het-nieuwsblad,26 February 2022,204.2 km,1666,23,749,UCI.WR.C3,1.WT.B,13 km solo
omloop-het-nieuwsblad,27 February 2021,200.5 km,1654,20,647,UCI.WR.C3,1.WT.B,Sprint of large group
omloop-het-nieuwsblad,29 February 2020,200 km,1663,27,713,UCI.WR.C3,1.WT.B,Sprint a deux
omloop-het-nieuwsblad,02 March 2019,200 km,1653,0,743,UCI.WR.C3,1.WT.B,2.5 km solo
omloop-het-nieuwsblad,24 February 2018,196.2 km,1652,0,750,UCI.WR.C3,1.WT.B,2.2 km solo
omloop-het-nieuwsblad,25 February 2017,198.3 km,1778,0,714,UCI.WR.C3,1.WT.B,Sprint of small group
omloop-het-nieuwsblad,27 February 2016,200.8 km,1813,0,643,UCI.WR.Pro,1.PRO,Sprint of small group
oxyclean-classic-brugge-de-panne,22 March 2023,211 km,268,44,463,UCI.WR.C3,1.WT.B,Sprint of small group
oxyclean-classic-brugge-de-panne,23 March 2022,207.9 km,246,39,457,UCI.WR.C3,1.WT.B,Sprint of large group
oxyclean-classic-brugge-de-panne,24 March 2021,203.9 km,234,29,489,UCI.WR.C3,1.WT.B,Sprint of large group
oxyclean-classic-brugge-de-panne,21 October 2020,188.6 km,249,24,557,UCI.WR.C3,1.WT.B,4 km solo
oxyclean-classic-brugge-de-panne,27 March 2019,200.3 km,647,0,461,UCI.WR.C3,1.WT.B,Sprint of large group
oxyclean-classic-brugge-de-panne,21 March 2018,202.4 km,694,0,257,UCI.WR.Pro,1.PRO,Sprint of small group
e3-harelbeke,24 March 2023,204.1 km,2017,12,860,UCI.WR.C2,1.WT.B,Sprint of small group
e3-harelbeke,25 March 2022,203.9 km,2010,29,640,UCI.WR.C2,1.WT.B,Other
e3-harelbeke,26 March 2021,203.9 km,2000,13,714,UCI.WR.C2,1.WT.B,5 km solo
e3-harelbeke,27 March 2020,203.4 km,,696,0,,,? - let us know!
e3-harelbeke,29 March 2019,204 km,2619,0,758,UCI.WR.C2,1.WT.B,Sprint of small group
e3-harelbeke,23 March 2018,206.5 km,1859,0,898,UCI.WR.C2,1.WT.B,30 km solo
e3-harelbeke,24 March 2017,206.1 km,1863,0,737,UCI.WR.C2,1.WT.B,Sprint of small group
e3-harelbeke,25 March 2016,206 km,1779,0,684,UCI.WR.C2,1.WT.B,Sprint a deux
gent-wevelgem,26 March 2023,260.9 km,1375,11,911,UCI.WR.C1,1.WT.B,Other
gent-wevelgem,27 March 2022,248.8 km,1377,16,830,UCI.WR.C1,1.WT.B,Sprint of small group
gent-wevelgem,28 March 2021,250 km,1425,10,797,UCI.WR.C1,1.WT.B,Sprint of small group
gent-wevelgem,11 October 2020,232.5 km,1360,12,703,UCI.WR.C1,1.WT.B,Sprint of small group
gent-wevelgem,31 March 2019,249.5 km,1511,0,869,UCI.WR.C1,1.WT.B,Sprint of large group
gent-wevelgem,25 March 2018,251.1 km,1532,0,948,UCI.WR.C1,1.WT.B,Sprint of small group
gent-wevelgem,26 March 2017,249 km,1546,0,806,UCI.WR.C1,1.WT.B,Sprint a deux
gent-wevelgem,27 March 2016,242 km,1342,0,834,UCI.WR.C1,1.WT.B,Sprint of small group
dwars-door-vlaanderen,29 March 2023,183.7 km,1459,0,857,UCI.WR.C3,1.WT.B,? - let us know!
